#Experiment_s	Run_s
SRX2272229	SRR4456052
SRX2272230	SRR4456053
SRX2272230	SRR4456054
SRX2272231	SRR4456055
SRX2272231	SRR4456056
SRX2272232	SRR4456057
SRX2272232	SRR4456058
SRX2272233	SRR4456059
SRX2272233	SRR4456060
SRX2272234	SRR4456061
SRX2272234	SRR4456062
SRX2272235	SRR4456063
SRX2272235	SRR4456064
SRX2272236	SRR4456065
SRX2272236	SRR4456066
SRX2272237	SRR4456067
SRX2272237	SRR4456068
SRX2272238	SRR4456069
SRX2272238	SRR4456070
SRX2272239	SRR4456071
SRX2272239	SRR4456072
SRX2272240	SRR4456073
SRX2272240	SRR4456074
SRX2272241	SRR4456075
SRX2272241	SRR4456076
SRX2272242	SRR4456077
SRX2272242	SRR4456078
SRX2272243	SRR4456079
SRX2272243	SRR4456080
SRX2272244	SRR4456081
SRX2272244	SRR4456082
SRX2272245	SRR4456083
